order_id,client_id,order_date,order_amount,product,quantity,payment_type
5047,24,2024-12-01,1218,Планшет,1,cash
5048,70,2024-10-25,2104,Мышь,3,bank_transfer
5049,22,2024-11-04,1596,Клавиатура,3,cash
5050,1,2025-03-17,4513,Ноутбук,3,cash
5051,14,2025-02-23,4456,Монитор,1,bank_transfer
5052,64,2025-07-05,4166,Планшет,1,card
5053,59,2025-09-09,2562,Мышь,3,bank_transfer
5054,88,2025-04-30,1879,Клавиатура,3,cash
5055,6,2025-03-30,2149,Ноутбук,2,bank_transfer
5056,18,2025-03-13,4437,Ноутбук,2,cash
5057,83,2025-02-23,4717,Планшет,3,cash
5058,63,2025-07-06,2560,Мышь,2,bank_transfer
5059,93,2025-07-23,2919,Монитор,1,bank_transfer
5060,94,2025-08-18,2948,Планшет,1,cash
5061,10,2025-02-24,1359,Клавиатура,1,card
5062,67,2025-04-29,3487,Ноутбук,1,cash
5063,94,2024-11-14,3546,Монитор,2,bank_transfer
5064,89,2025-01-30,4293,Ноутбук,2,card
5065,61,2024-10-26,4200,Монитор,2,bank_transfer
5066,59,2025-02-23,3984,Ноутбук,3,bank_transfer
5067,73,2025-04-30,4047,Монитор,2,card
5068,13,2024-11-18,4275,Монитор,3,cash
5069,36,2025-01-21,3525,Смартфон,3,bank_transfer
5070,49,2024-12-02,2752,Мышь,1,card
5071,69,2024-12-24,2781,Ноутбук,3,cash
5072,96,2025-02-10,2605,Мышь,3,bank_transfer
5073,14,2025-09-11,2260,Смартфон,1,bank_transfer
5074,73,2025-04-04,4774,Смартфон,3,card
5075,65,2025-05-09,4308,Ноутбук,2,card
5076,49,2025-01-13,2420,Мышь,3,card
5077,93,2025-08-31,3584,Клавиатура,2,card
5078,70,2025-09-21,4048,Монитор,3,card
5079,74,2025-10-09,3750,Планшет,3,card
5080,54,2025-01-23,1363,Монитор,1,bank_transfer
5081,61,2024-11-25,1410,Смартфон,1,card
5082,98,2025-10-13,2271,Ноутбук,1,bank_transfer
5083,80,2025-02-13,2108,Смартфон,3,cash
5084,37,2024-11-26,991,Смартфон,1,cash
5085,24,2024-12-25,3273,Ноутбук,3,cash
5086,72,2025-08-28,2729,Мышь,3,card
5087,68,2024-10-27,4129,Клавиатура,2,cash
5088,99,2025-03-11,1077,Ноутбук,2,cash
5089,92,2025-07-09,4659,Смартфон,2,cash
5090,78,2025-07-02,2973,Смартфон,1,card
5091,22,2025-08-19,4315,Клавиатура,3,cash
5092,91,2025-03-18,2733,Клавиатура,2,card
5093,76,2025-05-07,3898,Планшет,3,cash
5094,16,2024-12-06,3914,Клавиатура,1,bank_transfer
5095,54,2024-12-10,810,Смартфон,2,cash
5096,99,2024-12-05,4838,Монитор,2,bank_transfer
5097,81,2025-10-12,3381,Планшет,3,cash
5098,53,2025-03-20,3425,Монитор,2,card
5099,48,2025-02-14,1578,Планшет,2,card
5100,20,2025-07-05,2915,Мышь,1,cash
5101,14,2025-05-10,4507,Мышь,3,bank_transfer
5102,32,2025-10-16,2005,Клавиатура,3,card
5103,59,2025-06-26,4883,Монитор,2,card
5104,63,2025-06-18,1193,Смартфон,2,cash
5105,28,2024-11-28,3700,Мышь,3,cash
5106,5,2025-10-02,4686,Клавиатура,2,cash
5107,9,2024-11-17,1885,Смартфон,3,cash
5108,8,2025-05-07,4507,Монитор,1,card
5109,22,2025-10-01,947,Ноутбук,2,cash
5110,92,2025-01-05,1307,Ноутбук,2,cash
5111,47,2025-06-08,2857,Ноутбук,2,bank_transfer
5112,41,2025-01-24,3817,Смартфон,3,bank_transfer
5113,20,2025-04-08,2213,Смартфон,3,bank_transfer
5114,87,2025-07-09,3576,Монитор,1,bank_transfer
5115,67,2025-07-16,3635,Мышь,1,card
5116,87,2025-05-07,3657,Монитор,2,bank_transfer
5117,32,2025-05-02,2448,Мышь,3,cash
5118,89,2025-06-16,3332,Клавиатура,3,card
5119,44,2025-06-09,3509,Планшет,1,cash
5120,8,2025-05-09,1539,Монитор,2,cash
5121,41,2025-08-22,918,Монитор,1,card
5122,44,2024-11-28,1460,Мышь,2,card
5123,83,2025-05-11,4996,Планшет,1,cash
5124,34,2025-03-04,4573,Смартфон,1,card
5125,9,2025-04-21,2988,Ноутбук,3,bank_transfer
5126,77,2024-12-25,4073,Смартфон,1,card
5127,77,2025-07-09,2383,Ноутбук,2,card
5128,8,2025-06-18,3898,Клавиатура,3,card
5129,97,2024-10-28,2477,Монитор,1,bank_transfer
5130,28,2025-01-29,1391,Ноутбук,1,cash
5131,19,2025-03-31,4723,Монитор,2,card
5132,12,2025-03-29,3917,Клавиатура,1,bank_transfer
5133,48,2025-09-15,4490,Смартфон,2,bank_transfer
5134,16,2025-03-02,2472,Смартфон,3,bank_transfer
5135,55,2025-10-20,1970,Планшет,2,bank_transfer
5136,1,2025-02-12,3211,Монитор,3,card
5137,18,2025-04-06,1026,Мышь,1,card
5138,43,2024-12-27,3855,Планшет,1,cash
5139,9,2025-10-09,1839,Монитор,2,card
5140,15,2024-11-29,2574,Планшет,2,cash
5141,83,2025-06-20,1637,Ноутбук,1,cash
5142,60,2025-08-23,2622,Клавиатура,3,card
5143,87,2025-04-06,4745,Монитор,2,card
5144,67,2025-10-01,920,Мышь,1,cash
5145,79,2025-01-21,891,Клавиатура,3,cash
5146,35,2024-11-28,993,Ноутбук,3,card
5147,76,2025-01-03,2027,Монитор,3,cash
5148,10,2025-10-02,1381,Клавиатура,1,cash
5149,53,2025-07-08,850,Смартфон,2,bank_transfer
5150,12,2025-06-15,2430,Клавиатура,2,cash
5151,79,2025-05-04,2277,Мышь,1,cash
5152,95,2025-04-01,3943,Монитор,3,cash
5153,48,2025-06-01,4439,Планшет,2,bank_transfer
5154,27,2024-12-06,3877,Ноутбук,1,bank_transfer
5155,52,2025-08-19,3543,Планшет,3,bank_transfer
5156,45,2025-07-11,2485,Смартфон,1,card
5157,47,2025-07-19,1710,Смартфон,2,bank_transfer
5158,6,2025-05-02,3928,Смартфон,1,cash
5159,43,2025-06-01,3215,Клавиатура,2,card
5160,51,2025-04-02,3568,Ноутбук,2,card
5161,81,2025-02-20,3898,Планшет,2,cash
5162,44,2025-07-17,2383,Мышь,3,cash
5163,64,2025-06-08,812,Смартфон,2,card
5164,82,2025-08-18,4126,Мышь,2,bank_transfer
5165,17,2025-09-27,1020,Планшет,1,card
5166,66,2024-10-22,1336,Мышь,1,card
5167,94,2024-10-24,2851,Монитор,3,bank_transfer
5168,49,2025-10-09,2688,Клавиатура,3,bank_transfer
5169,90,2025-02-11,3547,Смартфон,2,bank_transfer
5170,12,2024-10-27,4828,Ноутбук,1,cash
5171,19,2025-07-02,3180,Смартфон,3,cash
5172,39,2025-09-07,2624,Смартфон,3,bank_transfer
5173,8,2025-04-21,1340,Смартфон,2,bank_transfer
5174,82,2024-11-16,4636,Планшет,1,card
5175,53,2025-04-12,3347,Мышь,1,cash
5176,69,2025-10-05,1070,Мышь,1,card
5177,6,2025-04-28,1371,Ноутбук,1,card
5178,29,2025-05-02,2725,Монитор,2,card
5179,6,2025-05-10,1922,Планшет,3,bank_transfer
5180,49,2025-01-10,2047,Смартфон,3,bank_transfer
5181,36,2025-06-09,1967,Смартфон,2,cash
5182,15,2025-06-13,3348,Мышь,1,cash
5183,17,2024-12-01,4458,Монитор,1,bank_transfer
5184,57,2024-11-12,1144,Планшет,2,cash
5185,95,2025-02-15,867,Планшет,2,bank_transfer
5186,22,2025-07-17,2400,Мышь,1,cash
5187,12,2024-11-19,1106,Смартфон,3,bank_transfer
5188,32,2025-04-10,3951,Монитор,2,card
5189,88,2025-05-27,2982,Клавиатура,1,bank_transfer
5190,78,2024-11-07,3297,Мышь,1,card
5191,29,2025-01-14,3269,Клавиатура,2,card
5192,14,2025-09-20,1292,Мышь,3,bank_transfer
5193,47,2025-07-29,2775,Планшет,3,card
5194,76,2025-04-30,1713,Планшет,3,bank_transfer
5195,79,2025-03-03,4081,Монитор,2,bank_transfer
5196,53,2025-04-04,4210,Клавиатура,2,bank_transfer
5197,14,2025-07-12,1236,Мышь,3,card
5198,82,2025-09-22,1513,Ноутбук,1,card
5199,77,2025-03-01,1708,Планшет,3,bank_transfer
5200,42,2025-05-13,1964,Планшет,3,cash
5201,68,2025-02-15,4697,Мышь,2,cash
5202,94,2025-10-12,4404,Мышь,3,cash
5203,1,2025-04-10,3404,Ноутбук,1,bank_transfer
5204,56,2025-06-27,4603,Монитор,1,cash
5205,99,2025-03-17,940,Ноутбук,1,bank_transfer
5206,80,2025-04-13,3752,Клавиатура,2,card
5207,89,2025-03-12,5000,Монитор,3,card
5208,89,2025-08-22,958,Ноутбук,2,cash
5209,8,2025-05-03,1471,Мышь,3,cash
5210,60,2025-04-04,2271,Монитор,2,card
5211,90,2025-10-06,1494,Ноутбук,1,bank_transfer
5212,98,2025-05-24,1339,Мышь,1,cash
5213,96,2024-12-02,4816,Монитор,2,card
5214,32,2025-08-11,2316,Ноутбук,3,bank_transfer
5215,92,2025-10-05,4477,Монитор,3,card
5216,69,2025-04-13,4019,Мышь,2,card
5217,48,2025-03-11,4963,Планшет,2,cash
5218,90,2025-07-08,4044,Смартфон,1,card
5219,58,2025-10-18,4476,Планшет,3,cash
5220,73,2025-07-30,1054,Планшет,3,bank_transfer
5221,44,2024-10-29,2803,Смартфон,3,bank_transfer
5222,74,2025-03-14,4538,Планшет,1,cash
5223,68,2025-07-30,2698,Клавиатура,2,bank_transfer
5224,35,2025-04-14,4924,Смартфон,2,cash
5225,2,2025-04-26,2750,Монитор,3,card
5226,4,2024-12-02,1976,Ноутбук,1,card
5227,97,2025-06-23,3885,Планшет,3,card
5228,75,2025-04-05,1162,Планшет,1,bank_transfer
5229,84,2025-10-01,3689,Мышь,3,cash
5230,65,2024-12-23,2721,Смартфон,3,card
5231,50,2025-03-21,1507,Клавиатура,1,bank_transfer
5232,23,2025-02-25,4380,Смартфон,3,cash
5233,9,2025-05-24,1350,Смартфон,2,bank_transfer
5234,92,2025-02-14,2242,Клавиатура,1,card
5235,76,2025-03-05,2673,Монитор,3,cash
5236,29,2024-11-07,3192,Ноутбук,3,cash
5237,62,2025-05-01,1692,Смартфон,1,card
5238,98,2025-05-05,1426,Монитор,3,cash
5239,49,2025-06-06,2290,Мышь,1,card
5240,54,2025-02-18,882,Мышь,2,cash
5241,18,2025-05-21,3506,Ноутбук,3,bank_transfer
5242,60,2025-02-18,1117,Планшет,3,card
5243,91,2025-08-17,4473,Клавиатура,3,bank_transfer
5244,53,2025-04-15,4151,Планшет,2,cash
5245,83,2025-03-16,1444,Планшет,1,cash
5246,86,2024-12-02,2459,Ноутбук,2,cash
5247,4,2025-10-21,3636,Планшет,1,card
5248,89,2025-09-15,1390,Ноутбук,1,card
5249,35,2025-08-30,4988,Планшет,1,card
5250,54,2024-12-17,3588,Монитор,1,cash
5251,23,2025-07-09,1367,Монитор,3,cash
5252,21,2025-08-24,4795,Монитор,3,card
5253,28,2025-05-12,1181,Мышь,3,bank_transfer
5254,22,2025-01-07,4718,Монитор,1,card
5255,76,2025-08-06,919,Смартфон,2,card
5256,8,2025-04-10,836,Ноутбук,3,card
5257,43,2024-11-20,1431,Ноутбук,3,cash
5258,29,2025-08-27,2028,Клавиатура,2,bank_transfer
5259,93,2025-09-30,3998,Монитор,3,card
5260,45,2025-09-14,1616,Ноутбук,3,cash
5261,90,2025-04-07,4354,Клавиатура,3,cash
5262,26,2025-06-17,4910,Монитор,1,cash
5263,19,2025-03-07,3648,Монитор,2,bank_transfer
5264,5,2024-12-05,4433,Монитор,1,cash
5265,61,2025-06-07,2138,Ноутбук,3,card
5266,58,2025-01-12,3988,Клавиатура,1,card
5267,83,2025-01-23,1187,Монитор,3,card
5268,4,2025-03-31,1390,Монитор,3,bank_transfer
5269,44,2025-05-20,4528,Смартфон,3,card
5270,44,2024-11-16,3650,Планшет,2,cash
5271,9,2025-09-12,1518,Клавиатура,1,cash
5272,55,2025-08-19,3839,Клавиатура,1,card
5273,19,2025-10-04,2774,Клавиатура,2,cash
5274,42,2025-01-04,4354,Мышь,3,card
5275,19,2024-11-15,4167,Монитор,2,card
5276,58,2025-06-28,1005,Ноутбук,3,card
5277,5,2024-12-03,3440,Мышь,3,bank_transfer
5278,3,2024-11-11,4926,Планшет,3,card
5279,66,2025-07-22,959,Ноутбук,2,bank_transfer
5280,5,2025-07-11,3018,Монитор,1,bank_transfer
5281,33,2025-06-19,3832,Клавиатура,1,bank_transfer
5282,9,2025-06-21,1072,Монитор,2,cash
5283,9,2025-04-01,2368,Планшет,3,bank_transfer
5284,80,2025-08-08,1398,Мышь,3,cash
5285,61,2025-08-08,2656,Ноутбук,3,card
5286,74,2025-02-25,4192,Клавиатура,1,card
5287,71,2024-10-30,4724,Мышь,3,bank_transfer
5288,51,2025-03-15,1167,Смартфон,1,cash
5289,95,2025-02-01,4189,Клавиатура,1,cash
5290,84,2024-12-08,3016,Клавиатура,1,cash
5291,84,2025-08-17,2555,Монитор,2,card
5292,56,2025-03-29,1372,Мышь,3,cash
5293,62,2025-10-11,2630,Клавиатура,3,cash
5294,53,2025-07-16,3179,Смартфон,3,bank_transfer
5295,33,2025-02-25,2822,Ноутбук,3,bank_transfer
5296,14,2024-11-21,4253,Мышь,1,cash
5297,58,2025-10-21,2477,Мышь,2,bank_transfer
5298,33,2025-06-21,1912,Монитор,3,cash
5299,75,2025-08-10,1687,Планшет,1,card
5300,21,2024-12-01,4632,Клавиатура,2,cash
5301,59,2025-07-04,4995,Монитор,1,card
5302,12,2025-10-17,3103,Планшет,2,bank_transfer
5303,85,2025-08-08,1301,Смартфон,2,bank_transfer
5304,67,2025-01-31,1389,Монитор,3,bank_transfer
5305,83,2025-10-12,1365,Монитор,1,bank_transfer
5306,2,2025-02-18,863,Смартфон,3,card
5307,87,2024-12-20,1927,Ноутбук,1,card
5308,91,2025-01-02,2412,Клавиатура,2,card
5309,12,2025-06-07,1420,Ноутбук,1,cash
5310,11,2025-09-04,4031,Клавиатура,2,bank_transfer
5311,52,2024-12-27,1612,Клавиатура,3,card
5312,82,2025-01-22,3379,Смартфон,1,bank_transfer
5313,70,2025-08-02,4492,Планшет,1,cash
5314,88,2024-11-10,2962,Планшет,1,card
5315,10,2025-06-24,3246,Клавиатура,2,card
5316,17,2025-05-28,4712,Монитор,1,bank_transfer
5317,50,2025-08-17,3295,Монитор,3,card
5318,29,2025-09-16,2700,Клавиатура,3,cash
5319,52,2025-01-01,2588,Смартфон,2,card
5320,72,2024-11-14,3500,Мышь,2,card
5321,91,2025-08-09,3546,Мышь,3,cash
5322,65,2024-11-13,1093,Клавиатура,3,cash
5323,22,2025-04-16,2216,Смартфон,1,bank_transfer
5324,8,2025-04-14,1636,Ноутбук,2,card
5325,57,2025-09-23,3786,Клавиатура,3,cash
5326,19,2025-04-22,3799,Мышь,2,card
5327,55,2025-01-21,1190,Смартфон,2,card
5328,36,2025-09-21,831,Монитор,2,cash
5329,24,2025-03-27,3597,Клавиатура,1,cash
5330,66,2024-11-06,3566,Смартфон,3,card
5331,71,2024-12-09,2629,Планшет,3,card
5332,73,2024-12-01,1044,Планшет,1,card
5333,99,2024-12-23,1394,Мышь,2,cash
5334,42,2025-01-16,4590,Мышь,2,bank_transfer
5335,1,2025-08-05,3814,Планшет,3,bank_transfer
5336,69,2025-07-08,4847,Смартфон,3,cash
5337,34,2025-09-12,2428,Планшет,3,cash
5338,19,2024-12-12,4302,Ноутбук,1,card
5339,88,2025-08-23,2084,Монитор,1,bank_transfer
5340,60,2025-01-09,4485,Мышь,2,bank_transfer
5341,76,2024-10-25,2681,Планшет,3,card
5342,18,2025-06-29,1951,Мышь,1,card
5343,71,2025-06-23,4043,Клавиатура,2,card
5344,8,2025-03-25,2749,Монитор,3,bank_transfer
5345,52,2025-08-02,4557,Мышь,3,bank_transfer
5346,18,2025-01-22,4603,Клавиатура,1,cash
5347,44,2025-01-10,2173,Монитор,1,bank_transfer
5348,37,2025-09-06,3327,Монитор,1,card
5349,46,2025-08-18,2384,Ноутбук,3,card
5350,58,2025-03-23,1484,Клавиатура,3,cash
5351,75,2025-08-17,2234,Ноутбук,1,bank_transfer
5352,64,2024-10-22,3019,Планшет,2,cash
5353,1,2025-01-31,2898,Ноутбук,3,card
5354,44,2025-02-25,3064,Монитор,2,cash
5355,73,2025-07-12,4400,Мышь,1,card
5356,63,2025-06-23,3796,Монитор,1,card
5357,14,2025-07-08,2565,Смартфон,2,cash
5358,55,2025-05-10,2265,Мышь,2,bank_transfer
5359,74,2025-01-09,3502,Планшет,3,cash
5360,23,2025-10-02,4165,Мышь,2,bank_transfer
5361,61,2025-08-27,2386,Клавиатура,2,cash
5362,43,2025-08-11,4987,Монитор,1,card
5363,79,2025-09-10,2006,Мышь,3,card
5364,57,2024-11-11,2139,Клавиатура,2,card
5365,41,2024-11-13,1875,Монитор,2,card
5366,59,2025-08-09,3043,Планшет,2,cash
5367,9,2025-09-05,3726,Смартфон,1,card
5368,18,2025-02-20,1119,Монитор,1,card
5369,96,2025-10-07,2336,Клавиатура,2,cash
5370,13,2025-01-10,4191,Клавиатура,1,bank_transfer
5371,5,2025-08-08,2725,Планшет,1,bank_transfer
5372,79,2025-07-01,967,Планшет,3,card
5373,49,2025-01-30,4778,Планшет,1,card
5374,68,2024-12-08,4101,Планшет,3,cash
5375,88,2025-06-02,2779,Мышь,1,card
5376,22,2024-12-26,4689,Клавиатура,2,cash
5377,35,2025-08-18,4467,Мышь,3,card
5378,63,2025-09-14,3696,Клавиатура,3,card
5379,95,2025-10-20,1728,Монитор,3,card
5380,72,2025-04-29,4997,Смартфон,3,card
5381,57,2025-06-11,1585,Монитор,3,cash
5382,45,2025-08-20,3470,Мышь,2,bank_transfer
5383,6,2025-06-04,1665,Смартфон,3,card
5384,27,2024-12-28,2276,Ноутбук,2,card
5385,25,2025-08-04,3868,Мышь,1,bank_transfer
5386,37,2025-06-03,2987,Ноутбук,2,bank_transfer
5387,71,2025-01-02,3796,Ноутбук,3,bank_transfer
5388,91,2025-05-13,2328,Ноутбук,2,bank_transfer
5389,54,2025-02-26,2653,Смартфон,1,cash
5390,47,2025-09-21,3026,Мышь,3,bank_transfer
5391,64,2025-10-04,1318,Мышь,3,bank_transfer
5392,53,2025-03-03,4887,Планшет,1,cash
5393,67,2025-06-25,854,Планшет,1,cash
5394,63,2025-05-29,2965,Ноутбук,2,cash
5395,86,2025-06-04,3188,Смартфон,2,cash
5396,68,2025-04-25,4220,Клавиатура,1,cash
5397,64,2025-01-02,2095,Смартфон,2,bank_transfer
5398,95,2025-07-16,2585,Планшет,1,card
5399,56,2024-11-11,2204,Ноутбук,2,card
5400,98,2025-06-29,4692,Мышь,1,bank_transfer
5401,95,2024-12-07,2207,Планшет,1,cash
5402,91,2025-03-17,1911,Смартфон,2,card
5403,17,2025-04-23,1561,Мышь,3,cash
5404,87,2025-01-01,1874,Монитор,2,cash
5405,11,2024-12-27,2656,Смартфон,1,bank_transfer
5406,65,2024-12-21,2680,Мышь,3,cash
5407,41,2025-07-08,4444,Клавиатура,3,cash
5408,40,2025-06-26,3962,Монитор,2,bank_transfer
5409,92,2025-07-31,3326,Мышь,3,cash
5410,38,2025-08-03,4174,Смартфон,3,card
5411,65,2025-03-27,2622,Клавиатура,1,bank_transfer
5412,8,2024-11-07,3081,Клавиатура,1,card
5413,30,2025-01-07,1011,Смартфон,2,card
5414,70,2025-05-15,4635,Планшет,2,card
5415,59,2025-05-08,4140,Клавиатура,1,bank_transfer
5416,42,2025-09-01,2952,Клавиатура,2,bank_transfer
5417,26,2025-04-27,3358,Клавиатура,2,card
5418,85,2025-04-18,3808,Монитор,3,cash
5419,77,2025-04-30,4722,Мышь,3,bank_transfer
5420,58,2025-07-31,2173,Планшет,1,card
5421,70,2025-09-25,4411,Смартфон,2,cash
5422,81,2024-12-06,1297,Мышь,2,card
5423,38,2025-03-03,3615,Клавиатура,3,bank_transfer
5424,64,2025-06-26,4698,Клавиатура,1,card
5425,30,2025-07-31,1211,Смартфон,3,card
5426,25,2024-10-30,2384,Мышь,3,card
5427,76,2025-02-05,4453,Монитор,2,bank_transfer
5428,52,2025-04-13,1650,Планшет,1,card
5429,65,2025-01-24,2261,Ноутбук,1,cash
5430,81,2025-06-28,1943,Клавиатура,3,cash
5431,59,2025-01-10,4164,Ноутбук,1,cash
5432,69,2025-03-01,3665,Ноутбук,2,bank_transfer
5433,3,2025-07-20,1647,Монитор,2,card
5434,100,2025-09-21,2050,Планшет,2,card
5435,39,2025-05-08,1484,Клавиатура,2,cash
5436,47,2024-10-30,2273,Ноутбук,2,cash
5437,5,2025-05-18,3426,Планшет,1,bank_transfer
5438,45,2025-05-27,2603,Планшет,3,cash
5439,31,2025-01-07,3645,Клавиатура,1,card
5440,7,2025-06-29,2859,Смартфон,1,cash
5441,77,2025-09-06,1851,Монитор,3,bank_transfer
5442,38,2024-11-01,4659,Клавиатура,3,card
5443,50,2025-06-19,4964,Клавиатура,1,card
5444,53,2024-11-22,1183,Планшет,3,card
5445,64,2025-05-30,2868,Монитор,1,card
5446,70,2025-06-23,3862,Клавиатура,2,bank_transfer
5447,78,2025-04-01,2457,Клавиатура,2,cash
5448,47,2025-06-07,1676,Ноутбук,1,bank_transfer
5449,24,2025-09-18,1174,Мышь,1,card
5450,77,2025-03-27,3196,Мышь,1,card
5451,39,2025-03-17,1512,Ноутбук,1,cash
5452,75,2025-09-07,3582,Мышь,2,card
5453,46,2024-12-10,3383,Мышь,3,cash
5454,89,2024-12-26,1346,Мышь,1,cash
5455,62,2025-08-22,3455,Смартфон,2,card
5456,16,2025-04-23,2045,Монитор,3,card
5457,42,2025-01-14,3003,Ноутбук,3,bank_transfer
5458,97,2025-05-30,3701,Смартфон,3,bank_transfer
5459,47,2025-02-26,4665,Планшет,2,bank_transfer
5460,37,2025-06-02,4196,Смартфон,2,bank_transfer
5461,38,2025-05-02,3561,Планшет,1,card
5462,18,2025-06-12,1655,Ноутбук,1,card
5463,73,2025-10-04,3186,Мышь,2,bank_transfer
5464,51,2024-11-02,836,Планшет,1,card
5465,30,2025-06-05,2669,Клавиатура,1,bank_transfer
5466,32,2025-01-20,2013,Клавиатура,1,cash
5467,51,2025-03-20,2410,Монитор,3,bank_transfer
5468,78,2024-10-30,2365,Планшет,3,card
5469,56,2025-04-27,1437,Смартфон,3,bank_transfer
5470,10,2025-05-31,1545,Монитор,2,cash
5471,87,2025-04-05,4434,Монитор,3,bank_transfer
5472,56,2025-05-02,2371,Мышь,1,card
5473,51,2025-09-27,2499,Мышь,2,card
5474,15,2025-08-08,4015,Смартфон,3,bank_transfer
5475,45,2025-03-08,1364,Смартфон,3,bank_transfer
5476,23,2024-12-20,3047,Мышь,1,card
5477,6,2024-11-20,2379,Планшет,3,bank_transfer
5478,84,2025-06-24,4182,Монитор,1,bank_transfer
5479,42,2024-12-01,1752,Клавиатура,3,cash
5480,87,2025-08-19,993,Клавиатура,1,bank_transfer
5481,27,2025-07-11,2519,Мышь,3,bank_transfer
5482,18,2025-07-08,1911,Планшет,2,bank_transfer
5483,15,2024-12-28,4018,Ноутбук,3,card
5484,75,2025-02-03,981,Планшет,2,cash
5485,96,2025-05-17,3935,Монитор,2,bank_transfer
5486,91,2025-07-17,1411,Планшет,2,card
5487,57,2025-02-22,1937,Смартфон,1,bank_transfer
5488,2,2025-04-02,4558,Ноутбук,2,cash
5489,81,2025-01-03,4482,Ноутбук,1,bank_transfer
5490,33,2024-11-07,2767,Ноутбук,2,card
5491,28,2025-06-29,1693,Мышь,3,cash
5492,67,2024-12-26,1139,Монитор,1,cash
5493,65,2025-07-30,1384,Монитор,2,bank_transfer
5494,50,2024-12-24,2437,Мышь,1,bank_transfer
5495,100,2025-01-01,3194,Смартфон,3,card
5496,42,2025-03-18,2045,Смартфон,1,cash
5497,73,2025-01-29,2361,Клавиатура,1,cash
5498,46,2025-09-02,4718,Монитор,2,cash
5499,46,2025-06-11,2165,Мышь,2,cash
5500,14,2025-03-24,1890,Клавиатура,2,card
5501,17,2025-08-24,3797,Ноутбук,1,cash
5502,56,2025-07-22,2944,Монитор,1,card
5503,93,2024-10-23,3860,Клавиатура,1,bank_transfer
5504,96,2025-03-06,4937,Ноутбук,2,cash
5505,90,2025-10-08,2881,Ноутбук,2,card
5506,34,2025-08-15,3482,Мышь,2,bank_transfer
5507,10,2025-03-01,1829,Планшет,3,card
5508,30,2025-02-22,4157,Планшет,3,cash
5509,36,2025-07-17,4631,Планшет,3,card
5510,72,2025-09-21,2653,Мышь,1,cash
5511,12,2024-12-31,1258,Смартфон,2,bank_transfer
5512,81,2025-04-30,1636,Смартфон,1,bank_transfer
5513,16,2025-01-26,2067,Ноутбук,2,bank_transfer
5514,75,2025-03-18,3842,Монитор,2,card
5515,7,2025-09-22,4689,Ноутбук,1,cash
5516,88,2025-04-15,4701,Монитор,2,bank_transfer
5517,51,2025-04-05,4461,Клавиатура,1,cash
5518,18,2024-12-13,3664,Смартфон,2,bank_transfer
5519,24,2025-07-27,3043,Смартфон,2,card
5520,50,2025-10-01,1635,Клавиатура,2,bank_transfer
5521,99,2025-07-01,1075,Планшет,3,cash
5522,32,2025-05-21,1459,Планшет,3,bank_transfer
5523,55,2025-07-01,2003,Монитор,2,cash
